,team1,team1score,team1seed,team2,team2score,team2seed,result,year,round,wteam,lteam,wscore,lscore
220,North Carolina,96,1,Oakland,68,16,0,2005,1,North Carolina,Oakland,96,68
221,Connecticut,77,2,UCF,71,15,0,2005,1,Connecticut,UCF,77,71
222,West Virginia,63,7,Creighton,61,10,0,2005,1,West Virginia,Creighton,63,61
223,Cincinnati,76,7,Iowa,64,10,0,2005,1,Cincinnati,Iowa,76,64
224,Wisconsin,57,6,Northern Iowa,52,11,0,2005,1,Wisconsin,Northern Iowa,57,52
225,Utah,67,6,Oklahoma,58,3,0,2005,2,Utah,Oklahoma,67,58
226,Oklahoma St.,85,2,Southern Illinois,77,7,0,2005,2,Oklahoma St.,Southern Illinois,85,77
227,N.C. State,65,10,Connecticut,62,2,0,2005,2,North Carolina St.,Connecticut,65,62
228,Texas Tech,71,6,Gonzaga,69,3,0,2005,2,Texas Tech,Gonzaga,71,69
229,Washington,97,1,Pacific,79,8,0,2005,2,Washington,Pacific,97,79
230,Louisville,76,4,Georgia Tech,54,5,0,2005,2,Louisville,Georgia Tech,76,54
231,Milwaukee,85,12,Boston College,63,4,0,2005,2,Milwaukee,Boston College,85,63
232,Arizona,85,3,UAB,63,11,0,2005,2,Arizona,UAB,85,63
233,Illinois,71,1,Nevada,59,9,0,2005,2,Illinois,Nevada,71,59
234,Villanova,76,5,Florida,65,4,0,2005,2,Villanova,Florida,76,65
235,Duke,63,1,Mississippi St.,55,9,0,2005,2,Duke,Mississippi St.,63,55
236,Michigan St.,72,5,Vermont,61,13,0,2005,2,Michigan St.,Vermont,72,61
237,North Carolina,92,1,Iowa St.,65,9,0,2005,2,North Carolina,Iowa St.,92,65
238,West Virginia,111,7,Wake Forest,105,2,0,2005,2,West Virginia,Wake Forest,111,105
239,Kentucky,69,2,Cincinnati,60,7,0,2005,2,Kentucky,Cincinnati,69,60
240,Wisconsin,71,6,Bucknell,62,14,0,2005,2,Wisconsin,Bucknell,71,62
241,Kentucky,62,2,Utah,52,6,0,2005,3,Kentucky,Utah,62,52
242,West Virginia,65,7,Texas Tech,60,6,0,2005,3,West Virginia,Texas Tech,65,60
243,Arizona,79,3,Oklahoma St.,78,2,0,2005,3,Arizona,Oklahoma St.,79,78
244,Louisville,93,4,Washington,79,1,0,2005,3,Louisville,Washington,93,79
245,Illinois,77,1,Milwaukee,63,12,0,2005,3,Illinois,Milwaukee,77,63
246,Michigan St.,78,5,Duke,68,1,0,2005,3,Michigan St.,Duke,78,68
247,North Carolina,67,1,Villanova,66,5,0,2005,3,North Carolina,Villanova,67,66
248,Wisconsin,65,6,N.C. State,56,10,0,2005,3,Wisconsin,North Carolina St.,65,56
249,Louisville,93,4,West Virginia,85,7,0,2005,4,Louisville,West Virginia,93,85
250,Illinois,90,1,Arizona,89,3,0,2005,4,Illinois,Arizona,90,89
251,Michigan St.,94,5,Kentucky,88,2,0,2005,4,Michigan St.,Kentucky,94,88
252,North Carolina,88,1,Wisconsin,82,6,0,2005,4,North Carolina,Wisconsin,88,82
253,Illinois,75,1,Louisville,58,4,0,2005,5,Illinois,Louisville,75,58
254,North Carolina,87,1,Michigan St.,71,5,0,2005,5,North Carolina,Michigan St.,87,71
255,North Carolina,75,1,Illinois,70,1,0,2005,6,North Carolina,Illinois,75,70
256,Monmouth,71,16,Hampton,49,16,0,2006,0,Monmouth,Hampton,71,49
257,LSU,80,4,Iona,64,13,0,2006,1,LSU,Iona,80,64
